placeId,title,tags,description
0,Meliá Athens,lodging|restaurant|food|point_of_interest|establishment,Meliá Athens facilities cover all our guests’ needs from dining experiences to wellness treatments. Savour traditional Greek flavours mingled with Mediterranean tastes to create ‘Balance’ in our hotel restaurants. All the 136 newly refurbished rooms are well appointed and offer a symphony of elegant furnishings and state-of-the-art technology. Refresh yourself and wash away your stress in the privacy of your spa-bathtub or de-stress in the hotel sauna and hamam. Stay fit in our modern and fully equipped Health Club. During the warmest months of the year enjoy the sunshine from the highest floor and take in the stunning views of the Acropolis while sipping your favorite drink prepared by our cocktail team.
1,POSEIDON ATHENS HOTEL,lodging|restaurant|food|point_of_interest|establishment,Poseidon Athens Hotel provides the ultimate destination for holidays in the Greek capital. Away from the hustle and bustle of the city center and with incomparable connectivity to all the major sights and attractions in Athens our hotel boasts a privileged location and can serve the needs of families couples and parties of friends adventurers and business people from all over the world. Even on a tight schedule you may explore Athens to the fullest with the help of the specific location of Poseidon Athens Hotel and thanks to the superb access to all means of transportation. Just a breath away there is the Tram and a bus station for you to hop on and start discovering the hidden gems of Athens.
2,Radisson Blu Park Hotel Athens,lodging|bar|restaurant|food|gym|health|point_of_interest|establishment, The Radisson Blu Park Hotel Athens places you right in the center of Athens. Our conveniently located Athens hotel sits at the edge of Pedion tou Areos one of the city's largest parks and is only a short stroll from the National Archeological Museum. Discover the city's vibrant atmosphere and immense history right on your doorstep. Enjoy comfortable and contemporary style in all 160 rooms and suites at our Athens hotel where free high-speed Wi-Fi marble bathrooms and individual climate control come as standard. Maintain your fitness routine or relax after a busy day at our in-house fitness center complete with sauna and steam room. Bask in the sunshine—with fabulous views of the city and its many architectural gems—by our stunning rooftop pool.
3,The Athenian Callirhoe Exclusive Hotel,cafe|lodging|bar|restaurant|food|point_of_interest|establishment, A unique 4 star superior Boutique Hotel in the heart of Athens City where style and comfort are happily coupled to offer a pleasant stay with the finest accommodation and delightful culinary experiences. At Athenian Callirhoe hotel one of the most well-known hotels in Athens you will discover a distinctive building with elegant urban interior design enjoy the very best in luxury and service while being spoiled with the 'little things' a guest needs to make one feel at home. Visit our roof garden restaurant “Callirhoe VIP” to savour refreshing cocktails and delicious cuisine creations enjoying the breathtaking view of both Acropolis and Lycabettus hill.
4,Athens Atrium Hotel,lodging|restaurant|food|point_of_interest|establishment, Known for its comfort personal service and classic elegance Athens Atrium Hotel & Jacuzzi Suites is one of the most promising 4 star hotels in Athens. Athens Atrium Hotel & Jacuzzi Suites offers both affordable luxury and convenience from its quiet location only minutes away from the heart of Athens busy city centre. Athens Atrium Hotel & Jacuzzi Suites features 56 spacious guest rooms and bathrooms that combine warmth style elegance and the latest technology. These details transform Athens Atrium into an ideal place; both for leisure and business travellers.
5,NJV Athens Plaza,cafe|lodging|bar|restaurant|food|point_of_interest|establishment, As one of the top luxury hotels in Athens our property features 162 guest rooms and 18 elegant suites that are tastefully decorated with modern touches and include first-class amenities. The NJV Athens Plaza Hotel aims to satisfy every guest including our guests traveling on business. Our meeting and event facilities are spacious and can hold up to 350 people while our state-of-the-art equipment allows for a successful conference special event board meeting or business luncheon.At the NJV Athens Plaza you can expect nothing but the best. Visit us and “Live the absolute experience for absolute moments!”
6,Savoy Hotel,lodging|bar|restaurant|food|point_of_interest|establishment, This unpretentious hotel is 2 km from the Port of Piraeus a 3-minute walk from the Archaeological Museum of Piraeus and 1 km from the Maritime Museum of Greece.The simple rooms have traditional décor free Wi-Fi flat-screen TVs and minibars and some have balconies. Suites have extra spa baths with tea and coffee making facilities. Room service is available.Free amenities include parking and a buffet breakfast. There is also a lobby bar and a quaint restaurant as well as a meeting room.
7,21 Restaurant,restaurant|lodging|food|point_of_interest|establishment, Situated on the ground floor of TWENTYONE hotel with a separate entrance 21 is a bar-restaurant that has become quite a hit with the hip crowd while still tapping to the sophisticated gourmets. The menu sets the mood for international cuisine touched with a flavor of Italian and Greek. Delicious cocktails served at the bar make a big splash.Guests can enjoy breakfast and dinner indoors or outdoors in the summer months.
8,FAROS HOTEL ΠΑΜΠΟΡΗΣ ΧΡΗΣΤΟΣ & ΣΙΑ Ε.Ε,lodging|restaurant|food|point_of_interest|establishment, The rooms have air conditioning and a bathroom. The rooms have a double bed for a good night's sleep. In addition there is a minibar. Great holiday comfort offers internet access a telephone and WiFi. There is a shower inside the bathrooms.The hotel has 44 rooms. The individual floors are easily accessible by elevator or by stairs. The equipment includes a luggage storage a cafeteria a bar and a room service. The wireless local area network in the common areas enables the customers to communicate with their own.
9,Στυλ,cafe|restaurant|food|point_of_interest|store|establishment, 
