id,gender,age,price_level,restaurant,lodging,food,point_of_interest,establishment,bar,cafe,health,gym,placeId
123,0,24,4,1,1,1,0,0,0,1,1,1,1
123,0,24,4,1,1,1,0,0,0,1,1,1,2
123,0,24,4,1,1,1,0,0,0,1,1,1,3
123,0,24,4,1,1,1,0,0,0,1,1,1,4
123,0,24,4,1,1,1,0,0,0,1,1,1,5
123,1,20,7,1,1,1,0,0,0,0,1,0,7
123,0,24,4,1,1,1,0,0,1,1,1,1,6
123,0,26,4,1,1,1,0,0,0,1,1,1,4
123,1,22,4,1,1,1,0,0,0,1,0,1,4
123,1,23,4,1,1,1,0,0,0,1,0,1,4
123,1,23,6,1,1,1,1,0,0,1,1,1,3


gender, age, price_level, restaurant, lodging, food, point_of_interest, establishment, bar, cafe, health, gym
